store_number,mgmtintname,ip_address,brand
IBR-BWW-00175_2,LAN,10.96.136.1,BWW
IBR-BWW-00176_2,LAN,10.96.137.1,BWW
IBR-BWW-00177_2,LAN,10.96.138.1,BWW
IBR-BWW-00178_2,LAN,10.96.139.1,BWW
IBR-BWW-00179_2,LAN,10.96.140.1,BWW
IBR-BWW-00180_2,LAN,10.96.141.1,BWW
IBR-BWW-00181_2,LAN,10.96.142.1,BWW
IBR-BWW-00182_2,LAN,10.96.143.1,BWW
IBR-BWW-00183_2,LAN,10.96.144.1,BWW
IBR-BWW-00185_2,LAN,10.96.146.1,BWW
IBR-BWW-00186_2,LAN,10.96.147.1,BWW
IBR-BWW-00187_2,LAN,10.96.148.1,BWW
IBR-BWW-00188_2,LAN,10.96.149.1,BWW
IBR-BWW-00189_2,LAN,10.96.150.1,BWW
IBR-BWW-00190_2,LAN,10.96.151.1,BWW
IBR-BWW-00192_2,LAN,10.96.152.1,BWW
IBR-BWW-00193_2,LAN,10.96.153.1,BWW
IBR-BWW-00194_2,LAN,10.96.154.1,BWW
IBR-BWW-00195_2,LAN,10.96.155.1,BWW
IBR-BWW-00196_2,LAN,10.96.156.1,BWW
IBR-BWW-00197_2,LAN,10.96.157.1,BWW
IBR-BWW-00198_2,LAN,10.96.158.1,BWW
IBR-BWW-00199_2,LAN,10.96.159.1,BWW
IBR-BWW-00200_2,LAN,10.96.160.1,BWW
IBR-BWW-00201_2,LAN,10.96.161.1,BWW
IBR-BWW-00202_2,LAN,10.96.162.1,BWW
IBR-BWW-00204_2,LAN,10.96.164.1,BWW
IBR-BWW-00205_2,LAN,10.96.165.1,BWW
IBR-BWW-00206_2,LAN,10.96.166.1,BWW
IBR-BWW-00207_2,LAN,10.96.167.1,BWW
IBR-BWW-00208_2,LAN,10.96.168.1,BWW
IBR-BWW-00209_2,LAN,10.96.169.1,BWW
IBR-BWW-00210_2,LAN,10.96.170.1,BWW
IBR-BWW-00211_2,LAN,10.96.171.1,BWW
IBR-BWW-00212_2,LAN,10.96.172.1,BWW
IBR-BWW-00213_2,LAN,10.96.173.1,BWW
IBR-BWW-00214_2,LAN,10.96.174.1,BWW
IBR-BWW-00215_2,LAN,10.96.175.1,BWW
IBR-BWW-00216_2,LAN,10.96.176.1,BWW
IBR-BWW-00217_2,LAN,10.96.177.1,BWW
IBR-BWW-00218_2,LAN,10.96.178.1,BWW
IBR-BWW-00219_2,LAN,10.96.179.1,BWW
IBR-BWW-00220_2,LAN,10.96.180.1,BWW
IBR-BWW-00221_2,LAN,10.96.181.1,BWW
IBR-BWW-00222_2,LAN,10.96.182.1,BWW
IBR-BWW-00223_2,LAN,10.96.183.1,BWW
IBR-BWW-00224_2,LAN,10.96.184.1,BWW
IBR-BWW-00225_2,LAN,10.96.185.1,BWW
IBR-BWW-00227_2,LAN,10.96.187.1,BWW
IBR-BWW-00228_2,LAN,10.96.188.1,BWW
IBR-BWW-00229_2,LAN,10.96.189.1,BWW
IBR-BWW-00230_2,LAN,10.96.190.1,BWW
IBR-BWW-00231_2,LAN,10.96.191.1,BWW
IBR-BWW-00232_2,LAN,10.96.192.1,BWW
IBR-BWW-00233_2,LAN,10.96.193.1,BWW
IBR-BWW-00234_2,LAN,10.96.194.1,BWW
IBR-BWW-00235_2,LAN,10.96.195.1,BWW
IBR-BWW-00236_2,LAN,10.96.196.1,BWW
IBR-BWW-00238_2,LAN,10.96.197.1,BWW
IBR-BWW-00239_2,LAN,10.96.198.1,BWW
IBR-BWW-00240_2,LAN,10.96.199.1,BWW
IBR-BWW-00241_2,LAN,10.96.200.1,BWW
IBR-BWW-00242_2,LAN,10.96.201.1,BWW
IBR-BWW-00243_2,LAN,10.96.202.1,BWW
IBR-BWW-00244_2,LAN,10.96.203.1,BWW
IBR-BWW-00245_2,LAN,10.96.204.1,BWW
IBR-BWW-00246_2,LAN,10.96.205.1,BWW
IBR-BWW-00247_2,LAN,10.96.206.1,BWW
IBR-BWW-00248_2,LAN,10.96.207.1,BWW
IBR-BWW-00249_2,LAN,10.96.208.1,BWW
IBR-BWW-00250_2,LAN,10.96.209.1,BWW
IBR-BWW-00251_2,LAN,10.96.210.1,BWW
IBR-BWW-00252_2,LAN,10.96.211.1,BWW
IBR-BWW-00253_2,LAN,10.96.212.1,BWW
IBR-BWW-00254_2,LAN,10.96.213.1,BWW
IBR-BWW-00255_2,LAN,10.96.214.1,BWW
IBR-BWW-00256_2,LAN,10.96.215.1,BWW
IBR-BWW-00257_2,LAN,10.96.216.1,BWW
IBR-BWW-00258_2,LAN,10.96.217.1,BWW
IBR-BWW-00259_2,LAN,10.96.218.1,BWW
IBR-BWW-00260_2,LAN,10.96.219.1,BWW
IBR-BWW-00263_2,LAN,10.96.220.1,BWW
IBR-BWW-00264_2,LAN,10.96.221.1,BWW
IBR-BWW-00265_2,LAN,10.96.222.1,BWW
IBR-BWW-00266_2,LAN,10.96.223.1,BWW
IBR-BWW-00268_2,LAN,10.96.225.1,BWW
IBR-BWW-00269_2,LAN,10.96.226.1,BWW
IBR-BWW-00270_2,LAN,10.96.227.1,BWW
IBR-BWW-00271_2,LAN,10.96.228.1,BWW
IBR-BWW-00272_2,LAN,10.96.229.1,BWW
IBR-BWW-00273_2,LAN,10.96.230.1,BWW
IBR-BWW-00274_2,LAN,10.96.231.1,BWW
IBR-BWW-00275_2,LAN,10.96.232.1,BWW
IBR-BWW-00276_2,LAN,10.96.233.1,BWW
IBR-BWW-00277_2,LAN,10.96.234.1,BWW
IBR-BWW-00278_2,LAN,10.96.235.1,BWW
IBR-BWW-00279_2,LAN,10.96.236.1,BWW
