store_number,mgmtintname,ip_address,brand
ARG00794,internal,10.212.63.1,Arbys
ARG00796,internal,10.211.116.1,Arbys
ARG00807,internal,10.211.144.1,Arbys
ARG00813,internal,10.211.139.1,Arbys
ARG00816,internal,10.211.140.1,Arbys
ARG00817,internal,10.210.13.1,Arbys
ARG00825,internal,10.211.150.1,Arbys
ARG00826,internal,10.211.72.1,Arbys
ARG00828,internal,10.213.115.1,Arbys
ARG00833,internal,10.213.123.1,Arbys
ARG00836,internal,10.212.56.1,Arbys
ARG00837,internal,10.211.178.1,Arbys
ARG00838,internal,10.208.106.1,Arbys
ARG00842,internal,10.210.10.1,Arbys
ARG00845,internal,10.210.236.1,Arbys
ARG00853,internal,10.210.9.1,Arbys
ARG00855,internal,10.208.8.1,Arbys
ARG00862,internal,10.210.97.1,Arbys
ARG00870,internal,10.211.89.1,Arbys
ARG00874,internal,10.213.86.1,Arbys
ARG00877,internal,10.213.136.1,Arbys
ARG00879,internal,10.210.67.1,Arbys
ARG00881,internal,10.211.161.1,Arbys
ARG00882,internal,10.212.12.1,Arbys
ARG00896,internal,10.210.64.1,Arbys
ARG00899,internal,10.210.16.1,Arbys
ARG00903,internal,10.208.70.1,Arbys
ARG00904,internal,10.211.16.1,Arbys
ARG00905,internal,10.213.203.1,Arbys
ARG00911,internal,10.208.227.1,Arbys
ARG00913,internal,10.213.50.1,Arbys
ARG00921,internal,10.208.29.1,Arbys
ARG00929,internal,10.211.88.1,Arbys
ARG00930,internal,10.211.66.1,Arbys
ARG00933,internal,10.211.232.1,Arbys
ARG00936,internal,10.214.20.1,Arbys
ARG00937,internal,10.210.28.1,Arbys
ARG00942,internal,10.208.68.1,Arbys
ARG00943,internal,10.211.214.1,Arbys
ARG00944,internal,10.208.129.1,Arbys
ARG00947,internal,10.214.18.1,Arbys
ARG00957,internal,10.210.95.1,Arbys
ARG00961,internal,10.208.24.1,Arbys
ARG00974,internal,10.211.48.1,Arbys
ARG00981,internal,10.213.185.1,Arbys
ARG00984,internal,10.208.76.1,Arbys
ARG00988,internal,10.210.59.1,Arbys
ARG00989,internal,10.213.3.1,Arbys
ARG00990,internal,10.211.184.1,Arbys
ARG00991,internal,10.211.65.1,Arbys
ARG00992,internal,10.213.149.1,Arbys
ARG00993,internal,10.211.42.1,Arbys
ARG00995,internal,10.210.65.1,Arbys
ARG00996,internal,10.210.241.1,Arbys
ARG00997,internal,10.211.180.1,Arbys
ARG01003,internal,10.213.81.1,Arbys
ARG01006,internal,10.210.62.1,Arbys
ARG01010,internal,10.208.205.1,Arbys
ARG01012,internal,10.210.196.1,Arbys
ARG01015,internal,10.211.233.1,Arbys
ARG01016,internal,10.211.71.1,Arbys
ARG01017,internal,10.208.152.1,Arbys
ARG01020,internal,10.208.146.1,Arbys
ARG01022,internal,10.211.145.1,Arbys
ARG01025,internal,10.213.202.1,Arbys
ARG01027,internal,10.211.60.1,Arbys
ARG01030,internal,10.208.191.1,Arbys
ARG01033,internal,10.210.162.1,Arbys
ARG01036,internal,10.212.229.1,Arbys
ARG01037,internal,10.208.94.1,Arbys
ARG01044,internal,10.210.51.1,Arbys
ARG01048,internal,10.212.170.1,Arbys
ARG01051,internal,10.214.10.1,Arbys
ARG01061,internal,10.211.248.1,Arbys
ARG01065,internal,10.211.234.1,Arbys
ARG01069,internal,10.208.100.1,Arbys
ARG01079,internal,10.208.137.1,Arbys
ARG01090,internal,10.210.53.1,Arbys
ARG01092,internal,10.210.74.1,Arbys
ARG01095,internal,10.212.202.1,Arbys
ARG01114,internal,10.211.87.1,Arbys
ARG01115,internal,10.210.189.1,Arbys
ARG01119,internal,10.211.188.1,Arbys
ARG01128,internal,10.210.108.1,Arbys
ARG01130,internal,10.208.84.1,Arbys
ARG01134,internal,10.210.44.1,Arbys
ARG01138,internal,10.208.170.1,Arbys
ARG01143,internal,10.212.35.1,Arbys
ARG01145,internal,10.213.78.1,Arbys
ARG01149,internal,10.213.77.1,Arbys
ARG01152,internal,10.212.108.1,Arbys
ARG01157,internal,10.213.83.1,Arbys
ARG01169,internal,10.208.171.1,Arbys
ARG01172,internal,10.210.69.1,Arbys
ARG01187,internal,10.208.110.1,Arbys
ARG01192,internal,10.210.56.1,Arbys
ARG01199,internal,10.212.160.1,Arbys
ARG01201,internal,10.211.200.1,Arbys
ARG01203,internal,10.213.154.1,Arbys
ARG01204,internal,10.213.204.1,Arbys
ARG01205,internal,10.208.125.1,Arbys
ARG01208,internal,10.208.109.1,Arbys
ARG01211,internal,10.210.171.1,Arbys
ARG01215,internal,10.210.234.1,Arbys
ARG01217,internal,10.208.95.1,Arbys
ARG01218,internal,10.212.84.1,Arbys
ARG01220,internal,10.211.31.1,Arbys
ARG01229,internal,10.208.27.1,Arbys
ARG01230,internal,10.213.194.1,Arbys
ARG01239,internal,10.210.200.1,Arbys
ARG01253,internal,10.210.15.1,Arbys
ARG01254,internal,10.210.54.1,Arbys
ARG01256,internal,10.208.28.1,Arbys
ARG01258,internal,10.212.215.1,Arbys
ARG01265,internal,10.211.182.1,Arbys
ARG01270,internal,10.210.213.1,Arbys
ARG01299,internal,192.168.1.99/255.255.255.0,Arbys
ARG01300,internal,10.211.58.1,Arbys
ARG01310,internal,10.211.211.1,Arbys
ARG01313,internal,10.210.55.1,Arbys
ARG01320,internal,10.213.201.1,Arbys
ARG01321,internal,10.211.183.1,Arbys
ARG01333,internal,10.213.63.1,Arbys
ARG01346,internal,10.215.152.1,Arbys
ARG01352,internal,10.208.101.1,Arbys
ARG01384,internal,10.211.225.1,Arbys
ARG01385,internal,10.211.111.1,Arbys
ARG01390,internal,10.213.82.1,Arbys
ARG01399,internal,10.211.52.1,Arbys
ARG01406,internal,10.210.58.1,Arbys
ARG01411,internal,10.212.230.1,Arbys
ARG01414,internal,10.212.52.1,Arbys
ARG01433,internal,10.212.116.1,Arbys
ARG01438,internal,10.213.70.1,Arbys
ARG01445,internal,10.208.66.1,Arbys
ARG01453,internal,10.208.176.1,Arbys
ARG01470,internal,10.212.197.1,Arbys
ARG01473,internal,10.212.117.1,Arbys
ARG01480,internal,10.212.180.1,Arbys
ARG01482,internal,10.211.147.1,Arbys
ARG01484,internal,10.211.165.1,Arbys
ARG01491,internal,10.211.243.1,Arbys
ARG01497,internal,10.211.61.1,Arbys
ARG01498,internal,10.212.29.1,Arbys
ARG01501,internal,10.210.193.1,Arbys
ARG01502,internal,10.210.101.1,Arbys
ARG01510,internal,10.211.51.1,Arbys
ARG01516,internal,10.208.172.1,Arbys
ARG01517,internal,10.210.199.1,Arbys
ARG01532,internal,10.212.42.1,Arbys
ARG01558,internal,10.208.167.1,Arbys
ARG01564,internal,10.212.216.1,Arbys
ARG01572,internal,10.208.124.1,Arbys
ARG01590,internal,10.212.67.1,Arbys
ARG01597,internal,10.212.252.1,Arbys
ARG01630,internal,10.213.167.1,Arbys
ARG01639,internal,10.213.15.1,Arbys
ARG01645,internal,10.208.111.1,Arbys
ARG01655,internal,10.211.55.1,Arbys
ARG01657,internal,10.213.47.1,Arbys
